"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","pack","used"
1,1,1,1,4,1,2694.22488888821,3303.52073825097,"Red Deer",0
,,,,,,1990.68666666692,1218.37827160227,"Red Deer",0
1,1,1,1,4,1,2620.08044444703,4146.14167311414,"Red Deer",0
3,3,4,6,5,4,2322.17377777696,2011.18146040959,"Red Deer",0
,,,,,,2245.47466666719,2156.69173133636,"Red Deer",0
,,,,,,2711.73333333341,859.32074825251,"Red Deer",0
3,3,5,5,5,4,2357.98711111084,3384.2561276102,"Red Deer",0
1,1,1,1,4,1,2478.78088889021,2100.59661613262,"Red Deer",0
,,,,,,1808.51377777808,871.930440897464,"Red Deer",0
3,3,3,5,5,3,2227.45955555558,490.285067950828,"Red Deer",0
1,1,1,1,4,1,2512.55200000136,512.069807380477,"Red Deer",0
,,,,,,1848.91999999995,413.311869462361,"Red Deer",0
1,1,1,1,4,1,2719.24799999901,1940.60231307266,"Red Deer",0
3,3,5,5,5,4,2369.61955555552,2264.41548956163,"Red Deer",0
4,5,4,3,3,4,1917.79288888922,320.315966641996,"Red Deer",0
4,3,3,3,1,4,2231.25999999988,2322.15927094838,"Red Deer",0
1,1,1,1,1,1,2757.33244444536,5335.38279803799,"Red Deer",0
4,5,4,3,3,4,1888.90577777806,1027.87730981562,"Red Deer",0
1,1,1,1,4,1,2039.03288888947,2928.07202565534,"Red Deer",0
3,6,3,1,1,3,1772.50000000013,1344.08214666993,"Red Deer",0
,,,,,,1855.03377777775,50.3159666419961,"Red Deer",0
,,,,,,2539.45999999967,2236.08388174879,"Red Deer",0
4,3,3,5,6,4,2230.08711111078,2442.71132038454,"Red Deer",0
,,,,,,1716.67955555551,154.668746314209,"Red Deer",0
,,,,,,1951.20088888842,218.134909904978,"Red Deer",0
1,1,1,5,5,3,2262.60088888929,1480.83602300994,"Red Deer",0
4,5,4,1,4,4,1718.09999999969,231.801402486978,"Red Deer",0
1,3,3,3,6,3,2340.40666666606,326.491582552204,"Red Deer",0
3,1,3,6,5,3,2592.0533333332,859.072067332381,"Red Deer",0
1,1,1,1,4,1,2605.30044444299,1181.16629890971,"Red Deer",0
1,1,1,1,4,1,2440.49955555764,3504.98438642857,"Red Deer",0
,,,,,,1846.53333333327,529.423247334199,"Red Deer",0
3,4,5,5,4,4,2097.44622222274,1181.92204248863,"Red Deer",0
3,4,3,1,1,1,1601.89955555545,20.3159666419961,"Red Deer",0
3,1,3,6,5,3,2424.33244444536,2046.44852475553,"Red Deer",0
3,3,4,6,5,4,2257.13288888966,1640.34186758056,"Red Deer",0
3,3,4,6,5,4,2239.9462222222,655.074717191663,"Red Deer",0
,,,,,,2370.94711111116,1258.13509873245,"Red Deer",0
3,4,5,5,4,4,2346.13911111041,1344.78666375728,"Red Deer",0
3,4,4,3,1,4,1896.84000000006,381.651579173872,"Red Deer",0
3,3,3,4,4,3,2299.17955555539,231.830032496442,"Red Deer",0
3,6,3,4,4,4,1870.6871111122,312.586559533142,"Red Deer",0
3,3,3,4,4,3,2158.32044444449,2406.71997136594,"Red Deer",0
4,3,3,3,1,4,2023.6262222218,240.602906111317,"Red Deer",0
