ID,ID2,NAME,NoCollared,Pack,DATE_,Season,EASTING,NORTHING,HOW_OBTAIN,CONFIDENCE,PackID,elevati
1,944,44,1,Bow valley,11/27/01,winter,588900,5670800,2,1,2,1402
2,945,44,1,Bow valley,12/19/01,winter,567700,5686600,2,1,2,1498
3,946,44,1,Bow valley,12/22/01,winter,587500,5672700,2,1,2,1402
4,947,44,1,Bow valley,12/21/01,winter,588100,5671500,2,1,2,1402
5,948,44,1,Bow valley,12/20/01,winter,558477,5697212,2,1,2,1587
6,949,44,1,Bow valley,12/23/01,winter,586000,5674300,2,1,2,1402
7,950,44,1,Bow valley,12/27/01,winter,578950,5679200,2,1,2,1433
8,951,44,1,Bow valley,12/28/01,winter,588150,5671250,2,1,2,1402
9,952,44,1,Bow valley,12/29/01,winter,588155,5672074,2,1,2,1405
10,953,44,1,Bow valley,12/30/01,winter,584800,5675700,2,1,2,1404
11,954,44,1,Bow valley,11/5/01,winter,584800,5674850,2,1,2,1402
12,955,44,1,Bow valley,11/6/01,winter,584600,5674800,2,1,2,1402
13,956,44,1,Bow valley,1/10/02,winter,582400,5675950,2,2,2,1428
14,957,44,1,Bow valley,1/11/02,winter,568250,5685100,2,1,2,1476
15,958,44,1,Bow valley,1/25/02,winter,590500,5669600,2,1,2,1406
16,959,44,1,Bow valley,1/28/02,winter,585190,5674900,2,2,2,1402
17,960,44,1,Bow valley,1/20/02,winter,585750,5676250,2,1,2,1536
18,961,44,1,Bow valley,1/20/02,winter,585150,5676250,2,1,2,1435
19,962,44,1,Bow valley,1/19/02,winter,587350,5671500,2,1,2,1403
20,963,44,1,Bow valley,2/20/02,winter,569250,5684250,2,1,2,1485
21,964,44,1,Bow valley,2/19/02,winter,577000,5679350,2,1,2,1433
22,965,44,1,Bow valley,2/18/02,winter,587580,5673950,2,1,2,1503
23,966,44,1,Bow valley,2/19/02,winter,577500,5679200,2,1,2,1433
24,967,44,1,Bow valley,2/16/02,winter,588050,5673130,2,1,2,1494
25,968,44,1,Bow valley,2/18/02,winter,586500,5673200,2,1,2,1402
26,969,44,1,Bow valley,2/16/02,winter,582700,5676600,2,2,2,1458
27,970,44,1,Bow valley,2/12/02,winter,585440,5674890,2,1,2,1402
28,971,44,1,Bow valley,1/21/02,winter,586100,5677050,2,1,2,1949
29,972,44,1,Bow valley,1/27/02,winter,585150,5676700,2,2,2,1499
30,973,44,1,Bow valley,1/26/02,winter,587700,5671860,2,1,2,1402
31,974,44,1,Bow valley,2/17/02,winter,584100,5675400,2,1,2,1402
32,975,44,1,Bow valley,2/22/02,winter,575500,5680500,2,2,2,1459
33,976,44,1,Bow valley,2/25/02,winter,582200,5676400,2,1,2,1432
34,977,44,1,Bow valley,2/25/02,winter,582900,5676100,2,2,2,1437
35,978,44,1,Bow valley,2/24/02,winter,588200,5673100,2,1,2,1543
36,979,44,1,Bow valley,2/24/02,winter,582200,5675850,2,1,2,1420
37,980,44,1,Bow valley,3/8/02,winter,584900,5675850,2,1,2,1410
38,981,44,1,Bow valley,3/7/02,winter,584800,5676200,2,2,2,1422
39,982,44,1,Bow valley,3/6/02,winter,586800,5672050,2,1,2,1402
40,983,44,1,Bow valley,3/3/02,winter,584800,5676050,2,1,2,1415
41,984,44,1,Bow valley,3/6/02,winter,589400,5669300,2,1,2,1402
42,985,44,1,Bow valley,2/26/02,winter,578850,5679350,2,1,2,1446
43,986,44,1,Bow valley,2/28/02,winter,577200,5678950,2,1,2,1433
44,987,44,1,Bow valley,2/27/02,winter,573450,5681500,2,1,2,1440
47,990,44,1,Bow valley,1/19/02,winter,582400,5675900,2,1,2,1426
48,991,44,1,Bow valley,1/19/02,winter,582150,5676100,2,1,2,1430
49,992,44,1,Bow valley,1/19/02,winter,583600,5676400,2,1,2,1434
50,993,44,1,Bow valley,1/20/02,winter,585600,5675800,2,1,2,1447
51,994,44,1,Bow valley,1/21/02,winter,584800,5676370,2,1,2,1465
52,995,44,1,Bow valley,1/24/02,winter,580000,5677300,2,2,2,1420
53,996,44,1,Bow valley,1/24/02,winter,585200,5676000,2,1,2,1420
54,997,44,1,Bow valley,11/22/01,winter,574300,5681150,2,1,2,1443
55,998,44,1,Bow valley,1/22/02,winter,579600,5678400,2,1,2,1432
56,999,44,1,Bow valley,1/24/02,winter,585400,5676300,2,1,2,1472
57,1000,44,1,Bow valley,1/19/02,winter,582450,5675700,2,1,2,1419
58,1001,44,1,Bow valley,1/29/02,winter,583900,5675600,2,2,2,1419
59,1002,44,1,Bow valley,1/30/02,winter,585400,5674600,2,1,2,1402
60,1004,44,1,Bow valley,2/2/02,winter,579051,5678956,2,1,2,1433
61,1005,44,1,Bow valley,2/7/02,winter,573600,5681700,2,1,2,1441
62,1006,44,1,Bow valley,2/2/02,winter,582950,5676250,2,1,2,1443
63,1009,44,1,Bow valley,3/16/02,winter,584300,5675500,2,2,2,1402
64,1010,44,1,Bow valley,3/17/02,winter,582300,5676700,2,1,2,1450
65,1011,44,1,Bow valley,3/19/02,winter,584800,5676500,2,1,2,1505
66,1012,44,1,Bow valley,3/18/02,winter,584800,5676850,2,1,2,1537
67,1013,44,1,Bow valley,3/19/02,winter,585560,5675200,2,1,2,1417
68,1014,44,1,Bow valley,3/12/02,winter,584100,5677000,2,2,2,1563
69,1015,44,1,Bow valley,3/14/02,winter,584890,5675900,2,2,2,1411
70,1016,44,1,Bow valley,3/7/02,winter,589658,5670521,2,1,2,1417
71,1017,44,1,Bow valley,3/17/02,winter,584800,5676300,2,1,2,1433
72,1018,44,1,Bow valley,3/18/02,winter,585000,5676600,2,1,2,1502
73,1019,44,1,Bow valley,3/19/02,winter,585922,5674697,2,1,2,1402
74,1020,44,1,Bow valley,3/22/02,winter,578750,5679500,2,1,2,1471
75,1021,44,1,Bow valley,3/22/02,winter,578700,5679600,2,1,2,1473
76,1022,44,1,Bow valley,3/22/02,winter,584158,5675434,2,1,2,1402
77,1023,44,1,Bow valley,3/29/02,winter,585700,5674700,2,1,2,1402
78,1024,44,1,Bow valley,3/30/02,winter,588500,5673500,2,2,2,1772
79,1025,44,1,Bow valley,3/29/02,winter,584850,5675250,2,1,2,1402
80,1026,44,1,Bow valley,3/27/02,winter,578850,5679200,2,1,2,1436
81,1027,44,1,Bow valley,3/27/02,winter,578800,5679170,2,1,2,1438
82,1028,44,1,Bow valley,2/8/02,winter,573611,5681700,2,1,2,1441
83,1029,44,1,Bow valley,2/9/02,winter,573870,5681130,2,1,2,1437
